GEO_UID,CMA_code,CMA_name,Census_Tract_name,Occupied_private_dwellings_by_structural_type_of_dwelling,Single_detached_house,Apartment_in_a_building_that_has_five_or_more_storeys,Semi_detached_house,Row_house,Apartment_or_flat_in_a_duplex,Apartment_in_a_building_that_has_fewer_than_five_storeys,Movable_dwelling,Private_households_by_household_size,F1_person,F2_person,F3_person,F4_person,F5_person_or_more,Number_of_persons_in_private_households
5350065.01,535,Toronto,65.01,1395,0,1320,0,0,0,70,0,1390,710,440,160,60,25,2420
5350065.02,535,Toronto,65.02,5480,0,5435,0,0,0,45,0,5485,2265,1470,890,535,330,11815
5350066.0,535,Toronto,66.0,4425,20,3300,30,95,55,915,0,4425,2585,1370,315,105,50,6960
5350067.0,535,Toronto,67.0,815,80,0,190,255,15,275,0,810,275,335,100,80,25,1695
5350068.0,535,Toronto,68.0,1200,60,75,240,280,90,450,0,1200,460,470,165,80,20,2335
5350069.0,535,Toronto,69.0,1890,295,0,540,90,210,715,0,1890,460,615,325,355,135,4880
5350070.0,535,Toronto,70.0,1715,180,700,320,5,50,455,0,1715,810,485,195,175,50,3325
5350071.0,535,Toronto,71.0,1400,340,0,445,265,55,290,0,1405,385,445,220,245,105,3470
5350072.01,535,Toronto,72.01,1865,200,470,465,295,100,325,0,1865,600,555,310,220,175,4575
5350072.02,535,Toronto,72.02,1265,295,0,350,75,70,470,0,1265,365,400,215,190,90,3115
5350073.0,535,Toronto,73.0,1010,150,0,205,50,105,490,0,1005,260,335,165,160,90,2580
5350074.0,535,Toronto,74.0,1595,290,90,255,40,130,785,0,1600,490,510,280,190,135,3830
5350075.0,535,Toronto,75.0,1760,115,270,610,50,50,660,5,1760,625,470,315,245,105,4075
5350076.0,535,Toronto,76.0,1935,275,545,640,50,55,370,0,1935,670,585,330,260,95,4380
5350077.0,535,Toronto,77.0,1910,390,145,625,20,80,635,0,1905,580,510,345,365,100,4640
5350078.0,535,Toronto,78.0,2855,600,495,565,85,170,930,0,2855,1160,850,405,345,90,5945
5350079.0,535,Toronto,79.0,2885,670,335,900,385,120,475,0,2885,805,850,505,540,190,7170
5350080.01,535,Toronto,80.01,1430,395,50,345,10,110,490,5,1430,430,465,255,200,70,3325
5350080.02,535,Toronto,80.02,2010,105,1205,140,115,85,345,0,2015,770,550,320,220,155,4570
5350081.0,535,Toronto,81.0,1075,180,0,460,0,50,390,0,1075,250,310,240,200,75,2800
5350082.0,535,Toronto,82.0,1025,265,0,355,0,75,320,0,1025,230,290,210,205,85,2750
5350083.0,535,Toronto,83.0,1825,240,330,425,30,90,700,0,1825,715,500,270,235,105,4045
5350084.0,535,Toronto,84.0,1500,335,60,375,20,95,615,0,1500,450,445,215,285,100,3675
5350085.0,535,Toronto,85.0,2075,295,865,205,40,105,555,0,2075,1000,610,220,175,75,3970
5350086.0,535,Toronto,86.0,920,690,0,35,5,75,115,0,920,140,310,145,200,125,2655
5350087.0,535,Toronto,87.0,2490,590,710,230,45,65,845,0,2490,1015,905,215,210,145,5090
5350088.0,535,Toronto,88.0,1820,0,1735,25,40,0,20,0,1820,880,680,185,60,15,3105
5350089.0,535,Toronto,89.0,2345,20,2100,55,60,10,95,0,2345,1360,765,125,70,20,3670
5350090.0,535,Toronto,90.0,2345,75,1560,200,240,15,255,0,2345,1260,775,180,100,35,3925
5350091.01,535,Toronto,91.01,3225,95,2085,160,40,55,775,0,3225,1735,1110,220,105,50,5320
5350091.02,535,Toronto,91.02,2010,65,950,70,30,100,775,0,2005,1145,575,165,80,40,3340
5350092.0,535,Toronto,92.0,3720,150,1390,190,85,140,1745,0,3715,1700,1230,430,240,115,7060
5350093.0,535,Toronto,93.0,2290,240,80,510,140,135,1150,0,2290,685,765,420,290,130,5330
5350094.0,535,Toronto,94.0,2045,390,5,355,100,200,980,5,2050,550,705,370,290,125,4940
5350095.0,535,Toronto,95.0,1315,185,0,265,50,170,640,0,1320,385,470,240,150,80,3070
5350096.01,535,Toronto,96.01,660,90,0,85,55,60,345,0,660,180,195,130,95,55,1660
5350096.02,535,Toronto,96.02,1395,175,0,145,60,195,735,0,1395,380,510,250,175,80,3295
5350097.01,535,Toronto,97.01,1620,185,125,170,15,165,940,0,1620,470,490,275,210,180,4155
5350097.03,535,Toronto,97.03,680,25,510,30,20,15,70,0,680,415,120,70,45,30,1205
5350097.04,535,Toronto,97.04,2390,175,1125,175,60,120,710,0,2395,835,795,360,250,155,5375
5350098.0,535,Toronto,98.0,3000,150,500,455,160,70,1665,0,3000,955,935,515,380,220,7095
5350099.0,535,Toronto,99.0,3245,320,1540,300,30,160,885,0,3240,1385,975,445,330,105,6550
5350100.0,535,Toronto,100.0,1435,60,680,95,30,45,520,0,1430,635,430,190,120,50,2855
5350101.0,535,Toronto,101.0,1460,150,0,90,115,160,950,0,1465,530,530,190,160,60,3110
5350102.02,535,Toronto,102.02,2535,0,2325,0,35,0,175,0,2535,1350,835,220,95,35,4250
5350102.03,535,Toronto,102.03,2095,30,1970,10,20,10,50,0,2095,1025,730,195,120,25,3675
5350102.04,535,Toronto,102.04,285,80,0,25,0,25,150,0,285,85,100,40,40,20,665
5350102.05,535,Toronto,102.05,340,70,0,90,15,30,130,0,340,95,100,60,60,25,855
5350103.0,535,Toronto,103.0,2530,870,680,175,30,185,595,0,2525,805,815,375,405,120,5815
5350104.0,535,Toronto,104.0,2055,1150,0,285,5,150,460,0,2050,455,560,410,470,160,5525
